,Rank,Artist,Song,Year,Artist_ID
3650,68,Til Tuesday,Voices Carry,1985,1L0y9srZMyh9XUnYGv37IP
3651,69,Kool and The Gang,Misled,1985,3VNITwohbvU5Wuy5PC6dsI
3652,70,Eurythmics,Would I Lie To You?,1985,0NKDgy9j66h3DLnN8qu1bB
3653,71,ABC,Be Near Me,1985,2s79xe5F6eUQkjwjww27Fh
3654,72,Paul McCartney,No More Lonely Nights,1985,4STHEaNw4mPZ2tzheohgXB
3655,73,Survivor,I Can't Hold Back,1985,26bcq2nyj5GB7uRr558iQg
3656,74,Bryan Adams,Summer Of '69,1985,3Z02hBLubJxuFJfhacLSDc
3657,75,Katrina and The Waves,Walking On Sunshine,1985,2TzHIUhVpeeDxyJPpQfnV3
3658,76,Wham!,Freedom,1985,5lpH0xAS4fVfLkACg9DAuM
3659,77,Julian Lennon,Too Late For Goodbyes,1985,4Tvos0a5rRrBu4Oodu5f79
3660,78,Julian Lennon,Valotte,1985,4Tvos0a5rRrBu4Oodu5f79
3661,79,Power Station,Some Like It Hot,1985,1EemADz12kjlGwkpY4EINv
3662,80,Ashford and Simpson,Solid,1985,2EURsXo9qlt1aMWlviGCRi
3663,81,Madonna,Angel,1985,6tbjWDEIzxoDsBA1FuhfPW
3664,82,Bruce Springsteen,I'm On Fire,1985,3eqjTLE0HfPfh78zjh6TqT
3665,83,Daryl Hall and John Oates,Method Op Modern Love,1985,77tT1kLj6mCWtFNqiOmP9H
3666,84,Thompson Twins,Lay Your Hands On Me,1985,5jVeqi3PNaTOajfvBa4uFn
3667,85,Debarge,Who's Holding Donna Now,1985,6is2U7I1jlI8PjxNZOHIMV
3668,86,John Cougar Mellencamp,Lonely Ol' Night,1985,3lPQ2Fk5JOwGWAF3ORFCqH
3669,87,Heart,What About Love,1985,0n94vC3S9c3mb2HyNAOcjg
3670,88,David Lee Roth,California Girls,1985,0KyCXNSa7ZMb5LydfKbLG3
3671,89,Kool and The Gang,Fresh,1985,3VNITwohbvU5Wuy5PC6dsI
3672,90,Jermaine Jackson,Do What You Do,1985,1VDurPMbOKrNU8mcMP4X1P
3673,91,The Time,Jungle Of Love,1985,1EgGVV9cmmlLEsFlunjmvv
3674,92,Bruce Springsteen,Born In The USA,1985,3eqjTLE0HfPfh78zjh6TqT
3675,93,Tina Turner,Private Dancer,1985,1zuJe6b1roixEKMOtyrEak
3676,94,Aretha Franklin,Who's Zoomin' Who,1985,7nwUJBm0HE4ZxD3f5cy5ok
3677,95,Sting,Fortress Around Your Heart,1985,0Ty63ceoRnnJKVEYP0VQpk
3678,96,Lionel Richie,Penny Lover,1985,3gMaNLQm7D9MornNILzdSl
3679,97,Don Henley,All She Wants To Do Is Dance,1985,5dbuFbrHa1SJlQhQX9OUJ2
3680,98,Madonna,Dress You Up,1985,6tbjWDEIzxoDsBA1FuhfPW
3681,99,Night Ranger,Sentimental Street,1985,1Ha0Fz4i0d4gu5fZbhBCtH
3682,100,Sheena Easton,Sugar Walls,1985,5dcOK4stT4JDkP6Dqhbz5s
3683,1,Dionne and Friends,That's What Friends Are For,1986,2JSjCHK79gdaiPWdKiNUNp
3684,2,Lionel Richie,"Say You, Say Me",1986,3gMaNLQm7D9MornNILzdSl
3685,3,Klymaxx,I Miss You,1986,2wh5Qu35PjDbJBqAv65RGa
3686,4,Patti Labelle and Michael McDonald,On My Own,1986,0ty0xha1dbprYIUAQufkFn
3687,5,Mr. Mister,Broken Wings,1986,7Bah8E0kCETqEpAHI6CPzQ
3688,6,Whitney Houston,How Will I Know,1986,6XpaIBNiVzIetEPCWDvAFP
3689,7,Eddie Murphy,Party All The Time,1986,1Zq8pfBl4ejCMrWdeAdphc
3690,8,Survivor,Burning Heart,1986,26bcq2nyj5GB7uRr558iQg
3691,9,Mr. Mister,Kyrie,1986,7Bah8E0kCETqEpAHI6CPzQ
3692,10,Robert Palmer,Addicted To Love,1986,530Sdm7eqqzWBdDmILMgnu
3693,11,Whitney Houston,Greatest Love Of All,1986,6XpaIBNiVzIetEPCWDvAFP
3694,12,Atlantic Starr,Secret Lovers,1986,2YdVmtVBpIrv0N6WiBzSqm
3695,13,Carl Anderson and Gloria Loring,Friends And Lovers,1986,7Bp4xXabhvbSB51SK3LJim
3696,14,Peter Cetera,Glory Of Love,1986,5xWPOujQqd4wXyB08slZ9Z
3697,15,Pet Shop Boys,West End Girls,1986,2ycnb8Er79LoH2AsR5ldjh
3698,16,Billy Ocean,There'll Be Sad Songs,1986,5IDs1CK15HegSAhGEbSYXo
3699,17,Simple Minds,Alive And Kicking,1986,6hN9F0iuULZYWXppob22Aj
3700,18,Heart,Never,1986,0n94vC3S9c3mb2HyNAOcjg
3701,19,Prince and The Revolution,Kiss,1986,5a2EaR3hamoenG9rDuVn8j
3702,20,Steve Winwood,Higher Love,1986,5gxynDEKwNDgxGJmJjZyte
3703,21,Huey Lewis and The News,Stuck With You,1986,7A9yZMTrFZcgEWAX2kBfK6
3704,22,Simply Red,Holding Back The Years,1986,1fa0cOhromAZdq2xRA4vv8
3705,23,Peter Gabriel,Sledgehammer,1986,7C4sUpWGlTy7IANjruj02I
3706,24,Starship,Sara,1986,0kObWap02DEg9EAJ3PBxzf
3707,25,Human League,Human,1986,1aX2dmV8XoHYCOQRxjPESG
3708,26,Nu Shooz,I Can't Wait,1986,2The4Ur661sLPGndcUuuLu
3709,27,Berlin,Take My Breath Away,1986,2aS6jYh7ysTL1ZUsHneNgM
3710,28,Falco,Rock Me Amadeus,1986,0H4lEdOgBhMO4iLjh5eWRp
3711,29,Madonna,Papa Don't Preach,1986,6tbjWDEIzxoDsBA1FuhfPW
3712,30,Bon Jovi,You Give Love A Bad Name,1986,58lV9VcRSjABbAbfWS6skp
3713,31,Billy Ocean,When The Going Gets Tough,1986,5IDs1CK15HegSAhGEbSYXo
3714,32,Janet Jackson,When I Think Of You,1986,4qwGe91Bz9K2T8jXTZ815W
3715,33,Heart,These Dreams,1986,0n94vC3S9c3mb2HyNAOcjg
3716,34,Glass Tiger,Don't Forget Me (When I'm Gone),1986,53RaPTbZOx2mBoZD6LLWIv
3717,35,Madonna,Live To Tell,1986,6tbjWDEIzxoDsBA1FuhfPW
3718,36,Belinda Carlisle,Mad About You,1986,7xkAwz0bQTGDSbkofyQt3U
3719,37,Level 42,Something About You,1986,0L9xkvBPcEp1nrhDrodxc5
3720,38,Bananarama,Venus,1986,3sc7iUG1Wwpwx7bHeZolgx
3721,39,Lionel Richie,Dancing On The Ceiling,1986,3gMaNLQm7D9MornNILzdSl
3722,40,Miami Sound Machine,Conga,1986,18xgcedCGxFbqLbIQn5R8F
3723,41,Cyndi Lauper,True Colors,1986,2BTZIqw0ntH9MvilQ3ewNY
3724,42,Kenny Loggins,Danger Zone,1986,3Y3xIwWyq5wnNHPp5gPjOW
3725,43,Janet Jackson,What Have You Done For Me Lately,1986,4qwGe91Bz9K2T8jXTZ815W
3726,44,Howard Jones,No One Is To Blame,1986,6loBF9iQdE11WSX29fNKqY
3727,45,Sly Fox,Let's Go All The Way,1986,6wU099wsnfSuP0lxWc0jgt
3728,46,Robert Palmer,I Didn't Mean To Turn You On,1986,530Sdm7eqqzWBdDmILMgnu
3729,47,Miami Sound Machine,Words Get In The Way,1986,18xgcedCGxFbqLbIQn5R8F
3730,48,Bangles,Manic Monday,1986,51l0uqRxGaczYr4271pVIC
3731,49,Dire Straits,Walk Of Life,1986,0WwSkZ7LtFUFjGjMZBMt6T
3732,50,Boston,Amanda,1986,29kkCKKGXheHuoO829FxWK
3733,51,Stacey Q,Two Of Hearts,1986,3q8tRS0hCMVCylgKAoA0ya
3734,52,Jets,Crush On You,1986,3AHq6rutf72JF0ul8GB6G2
3735,53,Orchestral Manoeuvres In The Dark,If You Leave,1986,7wJ9NwdRWtN92NunmXuwBk
3736,54,Genesis,Invisible Touch,1986,3CkvROUTQ6nRi9yQOcsB50
3737,55,Sade,The Sweetest Taboo,1986,47zz7sob9NUcODy0BTDvKx
3738,56,INXS,What You Need,1986,1eClJfHLoDI4rZe5HxzBFv
3739,57,Stevie Nicks,Talk To Me,1986,7crPfGd2k81ekOoSqQKWWz
3740,58,Janet Jackson,Nasty,1986,4qwGe91Bz9K2T8jXTZ815W
3741,59,Eddie Money,Take Me Home Tonight,1986,4Tw2N3wdvJPGEU7JqMxFfE
3742,60,Jermaine Stewart,We Don't Have To Take Our Clothes Off,1986,7FAkzV0YOw0EIXFhmY4RE3
3743,61,Lisa Lisa and Cult Jam With Full Force,All Cried Out,1986,3C4MmUJYQN9svNdedAR2BK
3744,62,Outfield,Your Love,1986,1zxDewzd2j1ZdSBGaYcr0y
3745,63,Wham!,I'm Your Man,1986,5lpH0xAS4fVfLkACg9DAuM
3746,64,Scritti Politti,Perfect Way,1986,59luKpdal8UwxcuLJNoKwS
3747,65,James Brown,Living In America,1986,7GaxyUddsPok8BuhxN6OUW
3748,66,John Cougar Mellencamp,R.O.C.K. In The U.S.A.,1986,3lPQ2Fk5JOwGWAF3ORFCqH
3749,67,El Debarge,Who's Johnny,1986,5xO4f5QyPMYnCPRyRveBSD
3750,68,Cameo,Word Up,1986,545idYhdloaSlLGBY8E9u2
3751,69,Van Halen,Why Can't This Be Love,1986,2cnMpRsOVqtPMfq7YiFE6K
3752,70,Mike and The Mechanics,Silent Running,1986,2yTUYhIf8fxptTIy3KLuJD
3753,71,Tina Turner,Typical Male,1986,1zuJe6b1roixEKMOtyrEak
3754,72,John Cougar Mellencamp,Small Town,1986,3lPQ2Fk5JOwGWAF3ORFCqH
3755,73,Baltimora,Tarzan Boy,1986,6czfQ8MjHVmvJKA4LAnviG
3756,74,Mike and The Mechanics,All I Need Is A Miracle,1986,2yTUYhIf8fxptTIy3KLuJD
3757,75,Michael McDonald,Sweet Freedom,1986,24hJWbo98sH84tb0nkeaqy
3758,76,Madonna,True Blue,1986,6tbjWDEIzxoDsBA1FuhfPW
3759,77,Timex Social Club,Rumors,1986,1C0HVpji7xDIdGbnsdUwCt
3760,78,Dream Academy,Life In A Northern Town,1986,1JVoO5bwfU8GNuAZLpBoHe
3761,79,Miami Sound Machine,Bad Boy,1986,18xgcedCGxFbqLbIQn5R8F
3762,80,ZZ Top,Sleeping Bag,1986,2AM4ilv6UzW0uMRuqKtDgN
3763,81,Cars,Tonight She Comes,1986,6DCIj8jNaNpBz8e5oKFPtp
3764,82,Rod Stewart,Love Touch,1986,2y8Jo9CKhJvtfeKOsYzRdT
3765,83,Sheila E.,A Love Bizarre,1986,6OQrOpxSIfPai3cFaN4v4P
3766,84,Genesis,Throwing It All Away,1986,3CkvROUTQ6nRi9yQOcsB50
3767,85,Regina,Baby Love,1986,3z6Gk257P9jNcZbBXJNX5i
3768,86,Arcadia,Election Day,1986,2HMuzFmTtwL4ur1zJNCU7f
3769,87,Elton John,Nikita,1986,3PhoLpVuITZKcymswpck5b
3770,88,Phil Collins,Take Me Home,1986,4lxfqrEsLX6N1N4OCSkILp
3771,89,Run-D.M.C.,Walk This Way,1986,3CQIn7N5CuRDP8wEI7FiDA
3772,90,Anita Baker,Sweet Love,1986,46CH1Gp8l8QVly8bpG9JFG
3773,91,Moody Blues,Your Wildest Dreams,1986,5BcZ22XONcRoLhTbZRuME1
3774,92,Paul McCartney,Spies Like Us,1986,4STHEaNw4mPZ2tzheohgXB
3775,93,Starpoint,Object Of My Desire,1986,6W9OZQ862LR0HM76QQJJY3
3776,94,Daryl Hall,Dreamtime,1986,77tT1kLj6mCWtFNqiOmP9H
3777,95,Force M.D.'s,Tender Love,1986,3KpLtTMpLAko7nBDmiYg7Z
3778,96,Thompson Twins,King For A Day,1986,5jVeqi3PNaTOajfvBa4uFn
3779,97,Lionel Richie,Love Will Conquer All,1986,3gMaNLQm7D9MornNILzdSl
3780,98,George Michael,A Different Corner,1986,19ra5tSw0tWufvUp8GotLo
3781,99,Toto,I'll Be Over You,1986,0PFtn5NtBbbUNbU9EAmIWF
3782,100,Stevie Wonder,Go Home,1986,7guDJrEfX3qb6FEbdPA5qi
3783,1,Bangles,Walk Like An Egyptian,1987,51l0uqRxGaczYr4271pVIC
3784,2,Heart,Alone,1987,0n94vC3S9c3mb2HyNAOcjg
3785,3,Gregory Abbott,Shake You Down,1987,6zdcmro5vDQSUjeioajL2r
3786,4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,6XpaIBNiVzIetEPCWDvAFP
3787,5,Starship,Nothing's Gonna Stop Us Now,1987,0kObWap02DEg9EAJ3PBxzf
3788,6,Robbie Nevil,C'est La Vie,1987,4NkLjsRsFnuPu9B4zqzBqq
3789,7,Whitesnake,Here I Go Again,1987,3UbyYnvNIT5DFXU4WgiGpP
3790,8,Bruce Hornsby and The Range,The Way It Is,1987,7CwJ4VEWs7HV7MWQt9cgyk
3791,9,Bob Seger,Shakedown,1987,485uL27bPomh29R4JmQehQ
3792,10,Bon Jovi,Livin' On A Prayer,1987,58lV9VcRSjABbAbfWS6skp
3793,11,Los Lobos,La Bamba,1987,6OWapcJm9xd55ci9CYbAuT
3794,12,Wang Chung,Everybody Have Fun Tonight,1987,6Zh3xrWlA0SA9Fsfj9AVwm
3795,13,Crowded House,Don't Dream It's Over,1987,7ohlPA8dRBtCf92zaZCaaB
3796,14,Atlantic Starr,Always,1987,2YdVmtVBpIrv0N6WiBzSqm
3797,15,U2,With Or Without You,1987,51Blml2LZPmy7TTiAg47vQ
3798,16,Jody Watley,Looking For A New Love,1987,71aKjsWKYqASAffyIQaocZ
3799,17,Lisa Lisa and Cult Jam,Head To Toe,1987,1vgjN6nIPNKiiQGE9PtzTT
3800,18,Tiffany,I Think We're Alone Now,1987,2IEnjZsVDEPKUTxNinyqba
3801,19,Billy Idol,Mony Mony,1987,7lzordPuZEXxwt9aoVZYmG
3802,20,Billy Vera and The Beaters,At This Moment,1987,1QQBo7mfkehMjDfz1tj5Pq
3803,21,Chris De Burgh,The Lady In Red,1987,2RpHsROrX075xfIwHn6B2U
3804,22,Whitney Houston,Didn't We Almost Have It All,1987,6XpaIBNiVzIetEPCWDvAFP
3805,23,U2,I Still Haven't Found What I'm Looking For,1987,51Blml2LZPmy7TTiAg47vQ
3806,24,George Michael,I Want Your Sex,1987,19ra5tSw0tWufvUp8GotLo
3807,25,Duran Duran,Notorious,1987,0lZoBs4Pzo7R89JM9lxwoT
3808,26,Debbie Gibson,Only In My Dreams,1987,18jZvCsW1PJ4FDQ5gEXuKp
3809,27,Bill Medley and Jennifer Warnes,(I've Had) The Time Of My Life,1987,474704VWtghgra0b3Xru8V
3810,28,Peter Cetera and Amy Grant,The Next Time I Fall,1987,5xWPOujQqd4wXyB08slZ9Z
3811,29,Club Nouveau,Lean On Me,1987,4kEAjV4pCBOkoowYYQydvO
3812,30,Madonna,Open Your Heart,1987,6tbjWDEIzxoDsBA1FuhfPW
3813,31,Lisa Lisa and Cult Jam,Lost In Emotion,1987,1vgjN6nIPNKiiQGE9PtzTT
3814,32,Cutting Crew,(I Just) Died In Your Arms,1987,3cniTumSiUysiPWXapGx1i
3815,33,T'pau,Heart And Soul,1987,47qTcvYlqJGAEsCI7BcENC
3816,34,Kim Wilde,You Keep Me Hangin' On,1987,73a6pNH4YtLNgDbPQwXveo
3817,35,Georgia Satellites,Keep Your Hands To Yourself,1987,2hnzQ6eCFkxUIPsVcsdj8A
3818,36,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me),1987,7nwUJBm0HE4ZxD3f5cy5ok
3819,37,Janet Jackson,Control,1987,4qwGe91Bz9K2T8jXTZ815W
3820,38,Prince,U Got The Look,1987,5a2EaR3hamoenG9rDuVn8j
3821,39,Linda Ronstadt and James Ingram,Somewhere Out There,1987,1sXbwvCQLGZnaH0Jp2HTVc
3822,40,Genesis,Land Of Confusion,1987,3CkvROUTQ6nRi9yQOcsB50
3823,41,Huey Lewis and The News,Jacob's Ladder,1987,7A9yZMTrFZcgEWAX2kBfK6
3824,42,Madonna,Who's That Girl,1987,6tbjWDEIzxoDsBA1FuhfPW
3825,43,Jets,You Got It All,1987,3AHq6rutf72JF0ul8GB6G2
3826,44,Samantha Fox,Touch Me (I Want Your Body),1987,0ym94xKp2PIOJtTZKpxbAa
3827,45,Michael Jackson and Siedah Garrett,I Just Can't Stop Loving You,1987,3fMbdgg4jU18AjLCKBhRSm
3828,46,Madonna,Causing A Commotion,1987,6tbjWDEIzxoDsBA1FuhfPW
3829,47,Genesis,In Too Deep,1987,3CkvROUTQ6nRi9yQOcsB50
3830,48,Janet Jackson,Let's Wait Awhile,1987,4qwGe91Bz9K2T8jXTZ815W
3831,49,Huey Lewis and The News,Hip To Be Square,1987,7A9yZMTrFZcgEWAX2kBfK6
3832,50,Chicago,Will You Still Love Me?,1987,3iDD7bnsjL9J4fO298r0L0
3833,51,Fleetwood Mac,Little Lies,1987,08GQAI4eElDnROBrJRGE0X
3834,52,Suzanne Vega,Luka,1987,3X0tJzVYoWlfjLYI0Ridsw
3835,53,Bananarama,I Heard A Rumour,1987,3sc7iUG1Wwpwx7bHeZolgx
3836,54,Richard Marx,Don't Mean Nothing,1987,0grdhNhiRLFBaFVyybqsj6
3837,55,Kenny G,Songbird,1987,6I3M904Y9IwgDjrQ9pANiB
3838,56,Europe,Carrie,1987,7Js6Lde8thlIHXggv2SCBz
3839,57,System,Don't Disturb This Groove,1987,5eAWCfyUhZtHHtBdNk56l1
3840,58,Madonna,La Isla Bonita,1987,6tbjWDEIzxoDsBA1FuhfPW
3841,59,Michael Jackson,Bad,1987,3fMbdgg4jU18AjLCKBhRSm
3842,60,Prince,Sign 'O' The Times,1987,5a2EaR3hamoenG9rDuVn8j
3843,61,Cyndi Lauper,Change Of Heart,1987,2BTZIqw0ntH9MvilQ3ewNY
3844,62,Expose,Come Go With Me,1987,5nPz5R1FDPTMI3Dw4JnTGb
3845,63,Dan Hill,Can't We Try,1987,5rOhfAsK4uxq9OdREiQRKa
3846,64,Billy Idol,To Be A Lover,1987,7lzordPuZEXxwt9aoVZYmG
3847,65,Bruce Hornsby and The Range,Mandolin Rain,1987,7CwJ4VEWs7HV7MWQt9cgyk
3848,66,Swing Out Sister,Breakout,1987,4phr5rAgWhcZtWJu8w8lKv
3849,67,Ben E. King,Stand By Me,1987,3plJVWt88EqjvtuB4ZDRV3
3850,68,Genesis,"Tonight, Tonight, Tonight",1987,3CkvROUTQ6nRi9yQOcsB50
3851,69,Glass Tiger,Someday,1987,53RaPTbZOx2mBoZD6LLWIv
3852,70,ABC,When Smokey Sings,1987,2s79xe5F6eUQkjwjww27Fh
3853,71,Levert,Casanova,1987,0G7OYsWptjRzVFT1AxP8TS
3854,72,Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You,1987,2Gop8SbSVt5SaJzuaRFa7D
3855,73,Whispers,Rock Steady,1987,2XzHxDFTNywDd5ReMhgxkg
3856,74,Bon Jovi,Wanted Dead Or Alive,1987,58lV9VcRSjABbAbfWS6skp
3857,75,Peter Gabriel,Big Time,1987,7C4sUpWGlTy7IANjruj02I
3858,76,Steve Winwood,The Finer Things,1987,5gxynDEKwNDgxGJmJjZyte
3859,77,Expose,Let Me Be The One,1987,5nPz5R1FDPTMI3Dw4JnTGb
3860,78,Survivor,Is This Love,1987,26bcq2nyj5GB7uRr558iQg
3861,79,Herb Alpert,Diamonds,1987,09L3cUdx0hq6qn5bKuJJ4I
3862,80,Expose,Point Of No Return,1987,5nPz5R1FDPTMI3Dw4JnTGb
3863,81,Fleetwood Mac,Big Love,1987,08GQAI4eElDnROBrJRGE0X
3864,82,Lou Gramm,Midnight Blue,1987,7CnmC3gRgLev4I609BrSxj
3865,83,Crowded House,Something So Strong,1987,7ohlPA8dRBtCf92zaZCaaB
3866,84,Bryan Adams,Heat Of The Night,1987,3Z02hBLubJxuFJfhacLSDc
3867,85,Glenn Medeiros,Nothing's Gonna Change My Love For You,1987,0bByarMN8ryEFQsRo6iCUN
3868,86,Bruce Springsteen,Brilliant Disguise,1987,3eqjTLE0HfPfh78zjh6TqT
3869,87,Smokey Robinson,Just To See Her,1987,6TKOZZDd5uV5KnyC5G4MUt
3870,88,Heart,Who Will You Run Too,1987,0n94vC3S9c3mb2HyNAOcjg
3871,89,Bruce Willis,Respect Yourself,1987,6UpHyjBIGRSHpna0GQ68bH
3872,90,Jets,Cross My Broken Heart,1987,3AHq6rutf72JF0ul8GB6G2
3873,91,Kool and The Gang,Victory,1987,3VNITwohbvU5Wuy5PC6dsI
3874,92,Pretenders,Don't Get Me Wrong,1987,0GByy3DcfbQwDvXGCWmzv9
3875,93,Huey Lewis and The News,Doing It All For My Baby,1987,7A9yZMTrFZcgEWAX2kBfK6
3876,94,Breakfast Club,Right On Track,1987,4nsuck0htFQjVl6OCKVzRb
3877,95,Lionel Richie,Ballerina Girl,1987,3gMaNLQm7D9MornNILzdSl
3878,96,Kenny Loggins,Meet Me Half Way,1987,3Y3xIwWyq5wnNHPp5gPjOW
3879,97,Cutting Crew,I've Been In Love Before,1987,3cniTumSiUysiPWXapGx1i
3880,98,Beastie Boys,(You Gotta) Fight For Your Right (To Party),1987,03r4iKL2g2442PT9n2UKsx
3881,99,Pseudo Echo,Funkytown,1987,0FDW3axHactZo8HU0OnNVy
3882,100,Ready For The World,Love You Down,1987,6h29EZDlc2NTvmCUe4yoXV
3883,1,George Michael,Faith,1988,19ra5tSw0tWufvUp8GotLo
3884,2,INXS,Need You Tonight,1988,1eClJfHLoDI4rZe5HxzBFv
3885,3,George Harrison,Got My Mind Set On You,1988,7FIoB5PHdrMZVC3q2HE5MS
3886,4,Rick Astley,Never Gonna Give You Up,1988,0gxyHStUsqpMadRV0Di1Qt
3887,5,Guns N' Roses,Sweet Child O' Mine,1988,3qm84nBOXUEQ2vnTfUTTFC
3888,6,Whitney Houston,So Emotional,1988,6XpaIBNiVzIetEPCWDvAFP
3889,7,Belinda Carlisle,Heaven Is A Place On Earth,1988,7xkAwz0bQTGDSbkofyQt3U
3890,8,Tiffany,Could've Been,1988,2IEnjZsVDEPKUTxNinyqba
3891,9,Breathe,Hands To Heaven,1988,53M4Iv2RkzzxFFvW2B1jhC
3892,10,Steve Winwood,Roll With It,1988,5gxynDEKwNDgxGJmJjZyte
3893,11,George Michael,One More Try,1988,19ra5tSw0tWufvUp8GotLo
3894,12,Terence Trent d'Arby,Wishing Well,1988,1JpHKf8Ztyd8HXU8p6m9cc
3895,13,Gloria Estefan and Miami Sound Machine,Anything For You,1988,2Gop8SbSVt5SaJzuaRFa7D
3896,14,Cheap Trick,The Flame,1988,1LB8qB5BPb3MHQrfkvifXU
3897,15,Billy Ocean,"Get Outta My Dreams, Get Into My Car",1988,5IDs1CK15HegSAhGEbSYXo
3898,16,Expose,Seasons Change,1988,5nPz5R1FDPTMI3Dw4JnTGb
3899,17,Whitesnake,Is This Love,1988,3UbyYnvNIT5DFXU4WgiGpP
3900,18,Escape Club,"Wild, Wild West",1988,6mRev5KzKOgQcZjWanwBdd
3901,19,Def Leppard,Pour Some Sugar On Me,1988,6H1RjVyNruCmrBEWRbD0VZ
3902,20,Taylor Dayne,I'll Always Love You,1988,32lVGr0fSRGT6okLKHiP68
3903,21,Michael Jackson,Man In The Mirror,1988,3fMbdgg4jU18AjLCKBhRSm
3904,22,Debbie Gibson,Shake Your Love,1988,18jZvCsW1PJ4FDQ5gEXuKp
3905,23,Robert Palmer,Simply Irresistible,1988,530Sdm7eqqzWBdDmILMgnu
3906,24,Richard Marx,Hold On To The Nights,1988,0grdhNhiRLFBaFVyybqsj6
3907,25,Eric Carmen,Hungry Eyes,1988,2ekjTXgjxbWwBX5lTAj4DU
3908,26,Johnny Hates Jazz,Shattered Dreams,1988,6zpPKMhpOoG646kJgZ7RKf
3909,27,George Michael,Father Figure,1988,19ra5tSw0tWufvUp8GotLo
3910,28,Samantha Fox,Naughty Girls (Need Love Too),1988,0ym94xKp2PIOJtTZKpxbAa
3911,29,Phil Collins,A Groovy Kind Of Love,1988,4lxfqrEsLX6N1N4OCSkILp
3912,30,Def Leppard,Love Bites,1988,6H1RjVyNruCmrBEWRbD0VZ
3913,31,Richard Marx,Endless Summer Nights,1988,0grdhNhiRLFBaFVyybqsj6
3914,32,Debbie Gibson,Foolish Beat,1988,18jZvCsW1PJ4FDQ5gEXuKp
3915,33,Whitney Houston,Where Do Broken Hearts Go,1988,6XpaIBNiVzIetEPCWDvAFP
3916,34,Aerosmith,Angel,1988,7Ey4PD4MYsKc5I2dolUwbH
3917,35,Bangles,Hazy Shade Of Winter,1988,51l0uqRxGaczYr4271pVIC
3918,36,Michael Jackson,The Way You Make Me Feel,1988,3fMbdgg4jU18AjLCKBhRSm
3919,37,Bobby McFerrin,"Don't Worry, Be Happy",1988,2FjkZT851ez950cyPjeYid
3920,38,Eric Carmen,Make Me Lose Control,1988,2ekjTXgjxbWwBX5lTAj4DU
3921,39,UB40,Red Red Wine,1988,69MEO1AADKg1IZrq2XLzo5
3922,40,Patrick Swayze,She's Like The Wind,1988,6dH5I8Q7HhXu74cBXkP0LD
3923,41,Bon Jovi,Bad Medicine,1988,58lV9VcRSjABbAbfWS6skp
3924,42,Beach Boys,Kokomo,1988,3oDbviiivRWhXwIE8hxkVV
3925,43,Elton John,I Don't Wanna Go On With You Like That,1988,3PhoLpVuITZKcymswpck5b
3926,44,Rick Astley,Together Forever,1988,0gxyHStUsqpMadRV0Di1Qt
3927,45,George Michael,Monkey,1988,19ra5tSw0tWufvUp8GotLo
3928,46,INXS,Devil Inside,1988,1eClJfHLoDI4rZe5HxzBFv
3929,47,Richard Marx,Should've Known Better,1988,0grdhNhiRLFBaFVyybqsj6
3930,48,Chicago,I Don't Wanna Live Without Your Love,1988,3iDD7bnsjL9J4fO298r0L0
3931,49,Kylie Minogue,The Loco-Motion,1988,4RVnAU35WRWra6OZ3CbbMA
3932,50,Pet Shop Boys and Dusty Springfield,What Have I Done To Deserve This?,1988,2ycnb8Er79LoH2AsR5ldjh
3933,51,Jets,Make It Real,1988,3AHq6rutf72JF0ul8GB6G2
3934,52,Information Society,What's On Your Mind,1988,6bJUzb3mLEYCkTAp7eNJgO
3935,53,Taylor Dayne,Tell It To My Heart,1988,32lVGr0fSRGT6okLKHiP68
3936,54,Debbie Gibson,Out Of The Blue,1988,18jZvCsW1PJ4FDQ5gEXuKp
3937,55,Jody Watley,Don't You Want Me,1988,71aKjsWKYqASAffyIQaocZ
3938,56,U2,Desire,1988,51Blml2LZPmy7TTiAg47vQ
3939,57,Belinda Carlisle,I Get Weak,1988,7xkAwz0bQTGDSbkofyQt3U
3940,58,Terence Trent d'Arby,Sign Your Name,1988,1JpHKf8Ztyd8HXU8p6m9cc
3941,59,Roger,I Want To Be Your Man,1988,3GMoVpWJy4smKuxFuFTwXC
3942,60,Pebbles,Girlfriend,1988,702AvACMk5mieXIYlC2Gxx
3943,61,Michael Jackson,Dirty Diana,1988,3fMbdgg4jU18AjLCKBhRSm
3944,62,Gloria Estefan and Miami Sound Machine,1 2 3 4,1988,2Gop8SbSVt5SaJzuaRFa7D
3945,63,Pebbles,Mercedes Boy,1988,702AvACMk5mieXIYlC2Gxx
3946,64,Huey Lewis and The News,Perfect World,1988,7A9yZMTrFZcgEWAX2kBfK6
3947,65,INXS,New Sensation,1988,1eClJfHLoDI4rZe5HxzBFv
3948,66,Pretty Poison,Catch Me (I'm Falling),1988,4Xe7UmOgczT2GMm5uK8Axu
3949,67,New Edition,If It Isn't Love,1988,1mFX1QlezK1lNPKQJkhwWb
3950,68,Jets,Rocket 2 U,1988,3AHq6rutf72JF0ul8GB6G2
3951,69,Peter Cetera,One Good Woman,1988,5xWPOujQqd4wXyB08slZ9Z
3952,70,Cheap Trick,Don't Be Cruel,1988,1LB8qB5BPb3MHQrfkvifXU
